id;id_ra;cod_natureza;mes;ano;quantidade
1;1;1;1;2020;1
2;1;1;2;2020;2
3;1;1;3;2020;0
4;1;1;4;2020;2
5;1;1;5;2020;0
6;1;1;6;2020;0
7;1;1;7;2020;0
8;1;1;8;2020;0
9;1;1;9;2020;1
10;1;1;10;2020;0
11;1;1;11;2020;0
12;1;1;12;2020;0
13;1;2;1;2020;3
14;1;2;2;2020;0
15;1;2;3;2020;0
16;1;2;4;2020;0
17;1;2;5;2020;0
18;1;2;6;2020;0
19;1;2;7;2020;0
20;1;2;8;2020;1
21;1;2;9;2020;0
22;1;2;10;2020;0
23;1;2;11;2020;2
24;1;2;12;2020;2
25;1;23;1;2020;1
26;1;23;2;2020;4
27;1;23;3;2020;6
28;1;23;4;2020;8
29;1;23;5;2020;4
30;1;23;6;2020;8
31;1;23;7;2020;3
32;1;23;8;2020;2
33;1;23;9;2020;7
34;1;23;10;2020;5
35;1;23;11;2020;4
36;1;23;12;2020;2
37;1;7;1;2020;0
38;1;7;2;2020;1
39;1;7;3;2020;1
40;1;7;4;2020;1
41;1;7;5;2020;0
42;1;7;6;2020;0
43;1;7;7;2020;0
44;1;7;8;2020;1
45;1;7;9;2020;0
46;1;7;10;2020;1
47;1;7;11;2020;1
48;1;7;12;2020;0
49;1;27;1;2020;0
50;1;27;2;2020;0
51;1;27;3;2020;0
52;1;27;4;2020;0
53;1;27;5;2020;0
54;1;27;6;2020;0
55;1;27;7;2020;0
56;1;27;8;2020;0
57;1;27;9;2020;0
58;1;27;10;2020;0
59;1;27;11;2020;0
60;1;27;12;2020;1
61;1;28;1;2020;0
62;1;28;2;2020;0
63;1;28;3;2020;0
64;1;28;4;2020;0
65;1;28;5;2020;0
66;1;28;6;2020;0
67;1;28;7;2020;0
68;1;28;8;2020;0
69;1;28;9;2020;0
70;1;28;10;2020;0
71;1;28;11;2020;0
72;1;28;12;2020;0
73;1;29;1;2020;8
74;1;29;2;2020;5
75;1;29;3;2020;4
76;1;29;4;2020;8
77;1;29;5;2020;2
78;1;29;6;2020;7
79;1;29;7;2020;8
80;1;29;8;2020;3
81;1;29;9;2020;1
82;1;29;10;2020;4
83;1;29;11;2020;4
84;1;29;12;2020;8
85;1;30;1;2020;1
86;1;30;2;2020;2
87;1;30;3;2020;2
88;1;30;4;2020;0
89;1;30;5;2020;1
90;1;30;6;2020;1
91;1;30;7;2020;0
92;1;30;8;2020;1
93;1;30;9;2020;1
94;1;30;10;2020;1
95;1;30;11;2020;4
96;1;30;12;2020;3
97;1;3;1;2020;13
98;1;3;2;2020;18
99;1;3;3;2020;18
100;1;3;4;2020;19
101;1;3;5;2020;30
102;1;3;6;2020;12
103;1;3;7;2020;21
104;1;3;8;2020;14
105;1;3;9;2020;11
106;1;3;10;2020;13
107;1;3;11;2020;4
108;1;3;12;2020;12
109;1;8;1;2020;4
110;1;8;2;2020;1
111;1;8;3;2020;1
112;1;8;4;2020;2
113;1;8;5;2020;4
114;1;8;6;2020;1
115;1;8;7;2020;4
116;1;8;8;2020;5
117;1;8;9;2020;2
118;1;8;10;2020;1
119;1;8;11;2020;2
120;1;8;12;2020;3
121;1;4;1;2020;0
122;1;4;2;2020;0
123;1;4;3;2020;0
124;1;4;4;2020;0
125;1;4;5;2020;0
126;1;4;6;2020;0
127;1;4;7;2020;0
128;1;4;8;2020;0
129;1;4;9;2020;0
130;1;4;10;2020;1
131;1;4;11;2020;0
132;1;4;12;2020;0
133;1;31;1;2020;3
134;1;31;2;2020;0
135;1;31;3;2020;3
136;1;31;4;2020;0
137;1;31;5;2020;0
138;1;31;6;2020;1
139;1;31;7;2020;2
140;1;31;8;2020;1
141;1;31;9;2020;0
142;1;31;10;2020;1
143;1;31;11;2020;2
144;1;31;12;2020;0
145;1;6;1;2020;0
146;1;6;2;2020;0
147;1;6;3;2020;0
148;1;6;4;2020;0
149;1;6;5;2020;1
150;1;6;6;2020;0
151;1;6;7;2020;1
152;1;6;8;2020;0
153;1;6;9;2020;0
154;1;6;10;2020;0
155;1;6;11;2020;0
156;1;6;12;2020;0
157;1;13;1;2020;0
158;1;13;2;2020;1
159;1;13;3;2020;0
160;1;13;4;2020;0
161;1;13;5;2020;0
162;1;13;6;2020;0
163;1;13;7;2020;1
164;1;13;8;2020;1
165;1;13;9;2020;1
166;1;13;10;2020;1
167;1;13;11;2020;2
168;1;13;12;2020;1
169;1;19;1;2020;0
170;1;19;2;2020;0
171;1;19;3;2020;0
172;1;19;4;2020;0
173;1;19;5;2020;0
174;1;19;6;2020;0
175;1;19;7;2020;0
176;1;19;8;2020;1
177;1;19;9;2020;1
178;1;19;10;2020;0
179;1;19;11;2020;0
180;1;19;12;2020;0
181;1;11;1;2020;3
182;1;11;2;2020;4
183;1;11;3;2020;3
184;1;11;4;2020;3
185;1;11;5;2020;8
186;1;11;6;2020;2
187;1;11;7;2020;1
188;1;11;8;2020;3
189;1;11;9;2020;3
190;1;11;10;2020;4
191;1;11;11;2020;4
192;1;11;12;2020;3
193;1;32;1;2020;7
194;1;32;2;2020;12
195;1;32;3;2020;9
196;1;32;4;2020;4
197;1;32;5;2020;7
198;1;32;6;2020;5
199;1;32;7;2020;5
200;1;32;8;2020;4
201;1;32;9;2020;11
202;1;32;10;2020;12
203;1;32;11;2020;6
204;1;32;12;2020;9
205;1;1;1;2021;1
206;1;1;2;2021;0
207;1;1;3;2021;1
208;1;1;4;2021;0
209;1;1;5;2021;0
210;1;1;6;2021;0
211;1;1;7;2021;0
212;1;1;8;2021;1
213;1;1;9;2021;0
214;1;1;10;2021;0
215;1;1;11;2021;1
216;1;1;12;2021;0
217;1;2;1;2021;0
218;1;2;2;2021;3
219;1;2;3;2021;0
220;1;2;4;2021;1
221;1;2;5;2021;0
222;1;2;6;2021;0
223;1;2;7;2021;0
224;1;2;8;2021;2
225;1;2;9;2021;0
226;1;2;10;2021;0
227;1;2;11;2021;1
228;1;2;12;2021;0
229;1;23;1;2021;3
230;1;23;2;2021;6
231;1;23;3;2021;4
232;1;23;4;2021;6
233;1;23;5;2021;1
234;1;23;6;2021;1
235;1;23;7;2021;3
236;1;23;8;2021;3
237;1;23;9;2021;5
238;1;23;10;2021;2
239;1;23;11;2021;9
240;1;23;12;2021;4
241;1;7;1;2021;1
242;1;7;2;2021;0
243;1;7;3;2021;0
244;1;7;4;2021;0
245;1;7;5;2021;0
246;1;7;6;2021;0
247;1;7;7;2021;1
248;1;7;8;2021;1
249;1;7;9;2021;0
250;1;7;10;2021;1
251;1;7;11;2021;0
252;1;7;12;2021;0
253;1;27;1;2021;0
254;1;27;2;2021;0
255;1;27;3;2021;0
256;1;27;4;2021;0
257;1;27;5;2021;0
258;1;27;6;2021;0
259;1;27;7;2021;0
260;1;27;8;2021;0
261;1;27;9;2021;0
262;1;27;10;2021;0
263;1;27;11;2021;0
264;1;27;12;2021;0
265;1;28;1;2021;0
266;1;28;2;2021;0
267;1;28;3;2021;0
268;1;28;4;2021;0
269;1;28;5;2021;0
270;1;28;6;2021;0
271;1;28;7;2021;0
272;1;28;8;2021;0
273;1;28;9;2021;0
274;1;28;10;2021;0
275;1;28;11;2021;0
276;1;28;12;2021;0
277;1;29;1;2021;2
278;1;29;2;2021;1
279;1;29;3;2021;5
280;1;29;4;2021;5
281;1;29;5;2021;2
282;1;29;6;2021;1
283;1;29;7;2021;1
284;1;29;8;2021;5
285;1;29;9;2021;4
286;1;29;10;2021;5
287;1;29;11;2021;1
288;1;29;12;2021;2
289;1;30;1;2021;0
290;1;30;2;2021;4
291;1;30;3;2021;2
292;1;30;4;2021;0
